MNEMONIC,NAME
CS 5012,Foundations of Computer Science
DS 5001,Exploratory Text Analytics
DS 5100,Programming for Data Science
DS 5110,Big Data Systems
DS 6001,Practice and Application of Data Science
DS 6002,Ethics of Big Data I
DS 6011,Data Science Capstone Project Work I
DS 6030,Statistical Learning
DS 6040,Bayesian Machine Learning
DS 6050,Deep Learning
DS Technical Bootcamp,Technical Bootcamp
STAT 6021,Linear Models for Data Science
